Time,Sound,Light
12:23:43,960,558
12:23:44,959,558
12:23:45,959,557
12:23:46,950,557
12:23:47,950,556
12:23:48,955,556
12:23:49,955,559
12:23:50,941,559
12:23:51,941,560
12:23:52,952,560
12:23:53,952,559
12:23:54,962,559
12:23:55,962,559
12:23:56,937,559
12:23:57,937,559
12:23:58,951,559
12:23:59,951,557
12:24:00,952,557
12:24:01,952,560
12:24:02,948,560
12:24:03,948,559
12:24:04,952,559
12:24:05,952,560
12:24:06,961,560
12:24:07,961,558
12:24:08,946,558
12:24:09,946,561
12:24:10,950,561
12:24:11,950,559
12:24:12,964,559
12:24:13,964,561
12:24:14,952,561
12:24:15,952,561
12:24:17,948,561
12:24:18,948,557
12:24:19,961,557
12:24:20,961,559
12:24:21,952,559
12:24:22,952,561
12:24:23,944,561
12:24:24,944,558
12:24:25,961,558
12:24:26,961,558
12:24:27,950,558
12:24:28,950,559
12:24:29,946,559
12:24:30,946,560
12:24:31,960,560
12:24:32,960,558
12:24:33,953,558
12:24:34,953,559
12:24:35,950,559
12:24:36,950,558
12:24:37,962,558
12:24:38,962,556
12:24:39,952,556
12:24:40,952,560
12:24:41,944,560
12:24:42,944,558
12:24:43,953,558
12:24:44,953,559
12:24:45,951,559
12:24:46,951,560
12:24:47,949,560
12:24:48,949,559
12:24:49,953,559
12:24:50,953,559
12:24:51,947,559
12:24:52,947,562
12:24:53,940,562
12:24:54,940,560
12:24:55,941,560
12:24:56,941,555
12:24:57,930,555
12:24:58,930,559
12:24:59,940,559
12:25:00,940,559
12:25:01,943,559
12:25:02,943,554
12:25:03,931,554
12:25:04,931,557
12:25:05,187,557
12:25:06,187,560
12:25:07,725,560
12:25:08,725,555
12:25:09,134,555
12:25:10,134,557
12:25:11,126,557
12:25:12,126,557
12:25:13,111,557
12:25:14,111,557
12:25:15,311,557
12:25:17,311,562
12:25:18,744,562
12:25:19,744,560
12:25:20,745,560
12:25:21,745,559
12:25:22,750,559
12:25:23,750,559
12:25:24,737,559
12:25:25,737,560
12:25:26,736,560
12:25:27,736,558
12:25:28,746,558
12:25:29,746,560
12:25:30,737,560
12:25:31,737,559
12:25:32,740,559
12:25:33,740,560
12:25:34,752,560
12:25:35,752,560
12:25:36,740,560
12:25:37,740,558
12:25:38,735,558
12:25:39,735,559
12:25:40,739,559
12:25:41,739,560
12:25:42,735,560
12:25:43,735,560
12:25:44,301,560
12:25:45,301,557
12:25:46,87,557
12:25:47,87,556
12:25:48,987,556
12:25:49,987,559
12:25:50,980,559
12:25:51,980,558
12:25:52,127,558
12:25:53,127,560
12:25:54,987,560
12:25:55,987,559
12:25:56,987,559
12:25:57,987,561
12:25:58,942,561
12:25:59,942,557
12:26:00,970,557
12:26:01,970,560
12:26:02,963,560
12:26:03,963,559
12:26:04,974,559
12:26:05,974,559
12:26:06,964,559
12:26:07,964,558
12:26:08,955,558
12:26:09,955,559
12:26:10,969,559
12:26:11,969,558
12:26:12,957,558
12:26:13,957,557
12:26:14,962,557
12:26:15,962,560
12:26:16,973,560
12:26:17,973,560
12:26:18,957,560
12:26:20,957,560
12:26:21,957,560
12:26:22,957,561
12:26:23,967,561
12:26:24,967,559
12:26:25,959,559
12:26:26,959,556
12:26:27,956,556
12:26:28,956,562
12:26:29,971,562
12:26:30,971,558
12:26:31,953,558
12:26:32,953,558
12:26:33,958,558
12:26:34,958,560
12:26:35,970,560
12:26:36,970,559
12:26:37,962,559
12:26:38,962,559
12:26:39,957,559
12:26:40,957,554
12:26:41,969,554
12:26:42,969,560
12:26:43,960,560
12:26:44,960,560
12:26:45,954,560
12:26:46,954,560
12:26:47,969,560
12:26:48,969,557
12:26:49,958,557
12:26:50,958,558
12:26:51,952,558
12:26:52,952,561
12:26:53,969,561
12:26:54,969,557
12:26:55,958,557
12:26:56,958,560
12:26:57,940,560
12:26:58,940,558
12:26:59,966,558
12:27:00,966,556
12:27:01,959,556
12:27:02,959,556
12:27:03,956,556
12:27:04,956,558
12:27:05,958,558
12:27:06,958,557
12:27:07,956,557
12:27:08,956,558
12:27:09,955,558
12:27:10,955,556
12:27:11,957,556
